epoch,time_s,lr,gpu_peak_mem_gb,train_loss,train_loss_base,train_mse,train_mass,train_solid,train_tv,train_loss_plume_focus,train_loss_active_mae,train_active_fraction,train_high_fraction,val_loss,val_loss_base,val_mse,val_mass,val_solid,val_tv,val_loss_plume_focus,val_loss_active_mae,val_active_fraction,val_high_fraction,val_rmse,val_mae,val_r2,val_rel_err,val_plume_rmse,val_plume_mae,val_plume_r2,val_plume_rel_err,val_plume_voxel_fraction,val_acc,val_macro_f1,val_weighted_f1,selection_cases,selection_rmse,selection_mae,selection_plume_rmse,selection_plume_mae,selection_acc,selection_macro_f1,selection_weighted_f1,selection_metric,selection_score
23,284.53,2.903e-04,31.514,0.015444,0.005285,0.004497,0.006787,0.001013,0.000807,0.003767,0.042611,0.000693,0.000692,0.013529,0.004647,0.003905,0.006469,0.000872,0.0008,0.003014,0.03912,0.000538,0.000536,17755.1738,72.1826,-0.000215,1.46185,727008.9375,79942.8906,-0.013012,0.965324,0.000596,0.984984,0.183154,0.991926,16,2459.5395,11.0281,134836.536,26074.3368,0.992384,0.174369,0.995789,selection_plume_rmse,134836.535957
24,269.45,2.895e-04,31.514,0.014973,0.005128,0.004368,0.006538,0.000978,0.000776,0.003587,0.041718,0.000689,0.000687,0.012897,0.004472,0.00381,0.005616,0.000929,0.000712,0.002796,0.037528,0.000538,0.000536,17754.8184,73.4958,-0.000175,1.488445,727005.5,80111.7578,-0.013002,0.967363,0.000596,0.986727,0.184806,0.992818,16,2466.5264,15.0468,134692.9424,25746.6854,0.990155,0.183507,0.994656,selection_plume_rmse,134692.942421
25,282.06,2.886e-04,31.514,0.0145,0.004768,0.004064,0.006011,0.000951,0.000741,0.003477,0.041703,0.000693,0.000691,0.012858,0.003649,0.003056,0.005074,0.000781,0.000683,0.003073,0.040911,0.000538,0.000536,17753.7891,66.5151,-5.9e-05,1.347072,727005.8125,79981.9219,-0.013003,0.965796,0.000596,0.988408,0.187383,0.993678,16,2442.5742,8.5466,134654.1542,25789.2131,0.993198,0.185793,0.99625,selection_plume_rmse,134654.154167
26,266.5,2.877e-04,31.514,0.01444,0.004746,0.004048,0.005977,0.000928,0.000738,0.003486,0.041394,0.000693,0.000692,0.012886,0.004495,0.003825,0.005787,0.000841,0.000712,0.002824,0.037116,0.000538,0.000536,17756.1816,78.3709,-0.000329,1.587175,727014.875,79897.7656,-0.013028,0.964779,0.000596,0.986611,0.183396,0.992753,16,2450.6779,12.7831,134618.9252,25682.6989,0.990167,0.179795,0.994689,selection_plume_rmse,134618.925175
27,266.13,2.868e-04,31.514,0.015145,0.005084,0.00433,0.006494,0.000972,0.000782,0.003639,0.042812,0.000691,0.000689,0.014449,0.004083,0.003443,0.005471,0.000857,0.000696,0.003477,0.04593,0.000538,0.000536,17753.9648,66.4238,-7.9e-05,1.345222,727024.9375,80459.6875,-0.013056,0.971565,0.000596,0.986168,0.186257,0.992544,16,2440.1098,9.247,134595.7864,25665.0908,0.991604,0.185027,0.99543,selection_plume_rmse,134595.786419
28,277.91,2.858e-04,31.514,0.014932,0.004931,0.004201,0.006295,0.000927,0.000758,0.003571,0.042867,0.000686,0.000684,0.013342,0.005042,0.004294,0.006575,0.000838,0.000737,0.002753,0.036975,0.000538,0.000536,17756.4512,84.0059,-0.000359,1.701297,727007.5625,80083.7422,-0.013008,0.967025,0.000596,0.984734,0.181142,0.991789,16,2500.0451,25.7066,134684.8722,25719.9411,0.98798,0.181119,0.993535,selection_plume_rmse,134684.872177
29,277.28,2.848e-04,31.514,0.014211,0.004636,0.003951,0.005872,0.000906,0.000731,0.003433,0.040944,0.000681,0.00068,0.012862,0.005046,0.004338,0.006068,0.000939,0.000762,0.002526,0.035265,0.000538,0.000536,17755.9746,79.6356,-0.000306,1.612789,726998.0625,79996.3594,-0.012981,0.96597,0.000596,0.98539,0.182991,0.992126,16,2482.2011,18.596,134613.5987,25680.9169,0.989468,0.184915,0.994289,selection_plume_rmse,134613.598679
30,268.95,2.837e-04,31.514,0.014221,0.004623,0.003945,0.005772,0.000931,0.000724,0.003392,0.041371,0.00069,0.000688,0.012301,0.004359,0.00373,0.005376,0.000852,0.000652,0.002586,0.035707,0.000538,0.000536,17754.5469,71.6739,-0.000145,1.451547,727015.75,79924.9453,-0.013031,0.965108,0.000596,0.987225,0.185333,0.993066,16,2446.8312,11.5998,134569.3792,25461.838,0.990192,0.187108,0.994687,selection_plume_rmse,134569.379204
31,264.96,2.826e-04,31.514,0.014045,0.004522,0.003863,0.005617,0.000906,0.000711,0.003406,0.040778,0.000691,0.000689,0.013676,0.003383,0.00284,0.00462,0.00075,0.000611,0.00327,0.046816,0.000538,0.000536,17753.3027,61.3737,-5e-06,1.242946,727023.1875,80577.0,-0.013051,0.972981,0.000596,0.988647,0.189816,0.993808,16,2427.3792,8.1227,134594.1735,25654.4707,0.991499,0.184357,0.995371,selection_plume_rmse,134594.17345
32,283.32,2.815e-04,31.514,0.014775,0.004793,0.004084,0.006099,0.000916,0.000745,0.003585,0.042647,0.000684,0.000682,0.013885,0.00576,0.004931,0.007213,0.001001,0.000789,0.002801,0.035495,0.000538,0.000536,17756.2617,81.6964,-0.000338,1.654524,727011.6875,79958.0,-0.013019,0.965507,0.000596,0.982851,0.179722,0.990828,16,2511.8602,30.0205,135089.245,26341.9179,0.985025,0.178883,0.992012,selection_plume_rmse,135089.244972
